-4.0000 ; -24.5000  7.5000  8.7200 -32.7800 
 -3.9900 ; -23.9414  7.3409  8.8278 -32.5682 
 -3.9800 ; -23.3858  7.1838  8.9352 -32.3568 
 -3.9700 ; -22.8330  7.0285  9.0422 -32.1458 
 -3.9600 ; -22.2831  6.8751  9.1488 -31.9352 
 -3.9500 ; -21.7361  6.7236  9.2550 -31.7250 
 -3.9400 ; -21.1920  6.5740  9.3608 -31.5152 
 -3.9300 ; -20.6507  6.4262  9.4662 -31.3058 
 -3.9200 ; -20.1123  6.2803  9.5712 -31.0968 
 -3.9100 ; -19.5767  6.1362  9.6758 -30.8882 
 -3.9000 ; -19.0440  5.9940  9.7800 -30.6800 
 -3.8900 ; -18.5141  5.8536  9.8838 -30.4722 
 -3.8800 ; -17.9871  5.7151  9.9872 -30.2648 
 -3.8700 ; -17.4629  5.5784 10.0902 -30.0578 
 -3.8600 ; -16.9415  5.4435 10.1928 -29.8512 
 -3.8500 ; -16.4229  5.3104 10.2950 -29.6450 
 -3.8400 ; -15.9071  5.1791 10.3968 -29.4392 
 -3.8300 ; -15.3941  5.0496 10.4982 -29.2338 
 -3.8200 ; -14.8840  4.9220 10.5992 -29.0288 
 -3.8100 ; -14.3766  4.7961 10.6998 -28.8242 
 -3.8000 ; -13.8720  4.6720 10.8000 -28.6200 
 -3.7900 ; -13.3702  4.5497 10.8998 -28.4162 
 -3.7800 ; -12.8712  4.4292 10.9992 -28.2128 
 -3.7700 ; -12.3749  4.3104 11.0982 -28.0098 
 -3.7600 ; -11.8814  4.1934 11.1968 -27.8072 
 -3.7500 ; -11.3906  4.0781 11.2950 -27.6050 
 -3.7400 ; -10.9026  3.9646 11.3928 -27.4032 
 -3.7300 ; -10.4174  3.8529 11.4902 -27.2018 
 -3.7200 ; -9.9348  3.7428 11.5872 -27.0008 
 -3.7100 ; -9.4551  3.6346 11.6838 -26.8002 
 -3.7000 ; -8.9780  3.5280 11.7800 -26.6000 
 -3.6900 ; -8.5037  3.4232 11.8758 -26.4002 
 -3.6800 ; -8.0320  3.3200 11.9712 -26.2008 
 -3.6700 ; -7.5631  3.2186 12.0662 -26.0018 
 -3.6600 ; -7.0969  3.1189 12.1608 -25.8032 
 -3.6500 ; -6.6334  3.0209 12.2550 -25.6050 
 -3.6400 ; -6.1725  2.9245 12.3488 -25.4072 
 -3.6300 ; -5.7144  2.8299 12.4422 -25.2098 
 -3.6200 ; -5.2589  2.7369 12.5352 -25.0128 
 -3.6100 ; -4.8061  2.6456 12.6278 -24.8162 
 -3.6000 ; -4.3560  2.5560 12.7200 -24.6200 
 -3.5900 ; -3.9085  2.4680 12.8118 -24.4242 
 -3.5800 ; -3.4637  2.3817 12.9032 -24.2288 
 -3.5700 ; -3.0215  2.2970 12.9942 -24.0338 
 -3.5600 ; -2.5820  2.2140 13.0848 -23.8392 
 -3.5500 ; -2.1451  2.1326 13.1750 -23.6450 
 -3.5400 ; -1.7109  2.0529 13.2648 -23.4512 
 -3.5300 ; -1.2792  1.9747 13.3542 -23.2578 
 -3.5200 ; -0.8502  1.8982 13.4432 -23.0648 
 -3.5100 ; -0.4238  1.8233 13.5318 -22.8722 
